Description,,Summary Amt.,
3/6/2025,Transfer DAILY PAY,80.78,140.14
3/6/2025,Zelle payment from CARSON LUBBESS Conf# 01Z9L8JG1,50,190.14
3/6/2025,GILLSVILLE CAFE 03/05 PURCHASE GILLSVILLE GA,-6.38,183.76
3/6/2025,Peacock 41B7F Pre 03/06 PURCHASE XXXXX40138 NY,-6,177.76
3/6/2025,WM SUPERCENTER 03/06 PURCHASE COMMERCE GA,-52.27,125.49
3/6/2025,NST THE HOME D 03/06 PURCHASE COMMERCE GA,-2.68,122.81
3/7/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,305.93,428.74
3/7/2025,MEDLINK PHARMACY 03/06 PURCHASE COMMERCE GA,-40,388.74
3/7/2025,MEDLINK PHARMACY 03/06 PURCHASE COMMERCE GA,-22.16,366.58
3/7/2025,COMMERCE HAIR SAL 03/06 PURCHASE COMMERCE GA,-36,330.58
3/7/2025,MCDONALD'S F35656 03/06 PURCHASE GAINESVILLE GA,-7.79,322.79
3/7/2025,Zelle payment to Carson Conf# y7biygfog,-250,72.79
3/7/2025,TRACTOR SUPPLY 03/07 PURCHASE GAINESVILLE GA,-1.75,71.04
3/7/2025,TRACTOR SUPPLY 03/07 PURCHASE GAINESVILLE GA,-3.5,67.54
3/10/2025,Transfer DAILY PAY,215.36,282.9
3/10/2025,"Zelle payment from CARSON LUBBESS for Idk""; Conf# 01ZBN6EX3""",200,482.9
3/10/2025,Transfer DAILY PAY,130.08,612.98
3/10/2025,Transfer DAILY PAY,116.79,729.77
3/10/2025,QT 847 03/07 PURCHASE GAINESVILLE GA,-3.31,726.46
3/10/2025,OAKWOOD PACKAGE S 03/07 PURCHASE FLOWERY BRANC GA,-11.97,714.49
3/10/2025,ZAXBY'S #68401 03/07 PURCHASE GAINESVILLE GA,-14.44,700.05
3/10/2025,ENTERPRISE RENT-A 03/08 PURCHASE XXXXX09505 GA,-12.91,687.14
3/10/2025,ENTERPRISE RENT-A 03/08 PURCHASE OAKWOOD GA,-364.2,322.94
3/10/2025,TRACTOR SUPPLY 03/08 PURCHASE GAINESVILLE GA,-1.75,321.19
3/10/2025,ALDI 76037 03/08 PURCHASE GAINESVILLE GA,-19.9,301.29
3/10/2025,OAKWOOD PACKAGE S 03/08 PURCHASE FLOWERY BRANC GA,-11.97,289.32
3/10/2025,EAST HALL FOOD MA 03/08 PURCHASE GAINESVILLE GA,-6.53,282.79
3/10/2025,ENTERPRISE RENT-A 03/09 PURCHASE XXXXX09505 GA,-64.2,218.59
3/10/2025,SUNOCO XXXXX14300 03/08 PURCHASE GILLSVILLE GA,-25.66,192.93
3/10/2025,BP#7698079ANDYS B 03/09 PURCHASE GAINESVILLE GA,-11.76,181.17
3/10/2025,BP#8136079CLIP 03/09 PURCHASE GAINESVILLE GA,-20.05,161.12
3/10/2025,TRACTOR SUPPLY 03/10 PURCHASE GAINESVILLE GA,-1.75,159.37
3/10/2025,TRACTOR SUPPLY 03/10 PURCHASE GAINESVILLE GA,-7.41,151.96
3/11/2025,Transfer DAILY PAY,120.41,272.37
3/11/2025,BURGER KING #5920 03/09 PURCHASE OAKWOOD GA,-19.56,252.81
3/11/2025,BP#8136079CLIPPER 03/10 PURCHASE GAINESVILLE GA,-3.98,248.83
3/11/2025,EL SOMBRERO MEXIC 03/10 PURCHASE GAINESVILLE GA,-74.41,174.42
3/11/2025,TRACTOR SUPPLY 03/11 PURCHASE GAINESVILLE GA,-27.43,146.99
3/12/2025,BP#8136079CLIPPER 03/11 PURCHASE GAINESVILLE GA,-2.34,144.65
3/12/2025,KROGER #682 03/11 PURCHASE GAINESVILLE GA,-76.36,68.29
3/12/2025,EAST HALL FOOD MA 03/11 PURCHASE GAINESVILLE GA,-18.18,50.11
3/12/2025,TRACTOR SUPPLY 03/12 PURCHASE GAINESVILLE GA,-1.75,48.36
3/12/2025,TRACTOR SUPPLY 03/12 PURCHASE GAINESVILLE GA,-25.45,22.91
3/13/2025,Transfer DAILY PAY,100.59,123.5
3/13/2025,BP#8136079CLIPPER 03/12 PURCHASE GAINESVILLE GA,-8.8,114.7
3/13/2025,BP#7698079ANDYS B 03/12 PURCHASE GAINESVILLE GA,-11.76,102.94
3/13/2025,TRACTOR SUPPLY 03/13 PURCHASE GAINESVILLE GA,-18.18,84.76
3/13/2025,WAL-MART #3627 03/13 PURCHASE OAKWOOD GA,-44.95,39.81
3/13/2025,BP#8136079CLIP 03/13 PURCHASE GAINESVILLE GA,-15,24.81
3/14/2025,Transfer DAILY PAY,68.24,93.05
3/14/2025,TRACTOR SUPPLY 03/14 PURCHASE GAINESVILLE GA,-1.75,91.3
3/14/2025,TRACTOR SUPPLY 03/14 PURCHASE GAINESVILLE GA,-5.23,86.07
3/17/2025,Transfer DAILY PAY,151.51,237.58
3/17/2025,BP#7698079ANDYS B 03/14 PURCHASE GAINESVILLE GA,-11.76,225.82
3/17/2025,DOLLAR GENERAL #1 03/14 PURCHASE GILLSVILLE GA,-20.31,205.51
3/17/2025,TRACTOR SUPPLY 03/15 PURCHASE GAINESVILLE GA,-1.52,203.99
3/17/2025,TRACTOR SUPPLY 03/15 PURCHASE GAINESVILLE GA,-1.52,202.47
3/17/2025,BP#7698079ANDYS B 03/15 PURCHASE GAINESVILLE GA,-11.76,190.71
3/17/2025,TRACTOR SUPPLY 03/16 PURCHASE GAINESVILLE GA,-1.52,189.19
3/17/2025,ACEABLE* 24/7 ROA 03/16 PURCHASE XXXXX23504 TX,-5,184.19
3/17/2025,TRACTOR SUPPLY 03/16 PURCHASE GAINESVILLE GA,-1.93,182.26
3/17/2025,BP#7698079ANDYS B 03/16 PURCHASE GAINESVILLE GA,-11.76,170.5
3/17/2025,TRACTOR SUPPLY 03/17 PURCHASE GAINESVILLE GA,-1.52,168.98
3/17/2025,TRACTOR SUPPLY 03/17 PURCHASE GAINESVILLE GA,-40.14,128.84
3/17/2025,TRACTOR SUPPLY 03/17 PURCHASE GAINESVILLE GA,-19.25,109.59
3/17/2025,BP#7698079ANDY 03/17 PURCHASE GAINESVILLE GA,-29.5,80.09
3/18/2025,Transfer DAILY PAY,349.09,429.18
3/18/2025,QT 771 03/16 PURCHASE GAINESVILLE GA,-8.73,420.45
3/18/2025,BP#8136079CLIPPER 03/17 PURCHASE GAINESVILLE GA,-6.14,414.31
3/18/2025,ALDI 76037 03/17 PURCHASE GAINESVILLE GA,-21.7,392.61
3/18/2025,DOLLAR GENERAL 03/18 PURCHASE GILLSVILLE GA,-11.28,381.33
3/18/2025,DOLLAR GENERAL 03/18 PURCHASE GILLSVILLE GA,-6.97,374.36
3/19/2025,Transfer DAILY PAY,108.41,482.77
3/19/2025,Zelle payment from CARSON LUBBESS Conf# 01ZM8480P,50,532.77
3/19/2025,EXXON GXP 200 03/18 PURCHASE JEFFERSON GA,-12.83,519.94
3/19/2025,BKOFAMERICA ATM 03/19 #XXXXX5385 WITHDRWL WINDER MAIN WINDER GA,-40,479.94
3/20/2025,Transfer DAILY PAY,25.07,505.01
3/20/2025,TOP GOLF BUFORD 8 03/18 PURCHASE BUFORD GA,-117.52,387.49
3/20/2025,TST*FRIENDS WINDE 03/19 PURCHASE Winder GA,-72.06,315.43
3/20/2025,ENTERPRISE RENT-A 03/19 PURCHASE XXXXX09505 GA,-240.75,74.68
3/20/2025,TST*FRIENDS WINDE 03/19 PURCHASE Winder GA,-9.76,64.92
3/20/2025,EXXON WEST JACKSO 03/19 PURCHASE HOSCHTON GA,-11.76,53.16
3/20/2025,KROGER #6 1931 03/20 PURCHASE GAINESVILLE GA,-55.17,-2.01
3/20/2025,Zelle payment to Evan new Conf# zonnwmvd2,-7,-9.01
3/21/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,581.52,572.51
3/21/2025,TACO MAC 40 GAINS 03/20 PURCHASE GAINESVILLE GA,-9.65,562.86
3/21/2025,Zelle payment to Carson Conf# z8p7dcwfo,-300,262.86
3/21/2025,TRACTOR SUPPLY 03/21 PURCHASE GAINESVILLE GA,-2.18,260.68
3/24/2025,Transfer DAILY PAY,141.51,402.19
3/24/2025,Transfer DAILY PAY,101.51,503.7
3/24/2025,VZWRLSS*BILL PAY 03/21 PURCHASE XXXXX20204 CA,-213.98,289.72
3/24/2025,QT 771 03/21 PURCHASE GAINESVILLE GA,-6.87,282.85
3/24/2025,BP#7698079ANDYS B 03/21 PURCHASE GAINESVILLE GA,-11.76,271.09
3/24/2025,TRACTOR SUPPLY 03/22 PURCHASE GAINESVILLE GA,-28.07,243.02
3/24/2025,TRACTOR SUPPLY 03/22 PURCHASE GAINESVILLE GA,-1.58,241.44
3/24/2025,FIREHOUSE SUBS 06 03/22 PURCHASE OAKWOOD GA,-12.62,228.82
3/24/2025,BP#7698079ANDYS B 03/22 PURCHASE GAINESVILLE GA,-11.76,217.06
3/24/2025,TRACTOR SUPPLY 03/23 PURCHASE GAINESVILLE GA,-16.61,200.45
3/24/2025,TRACTOR SUPPLY 03/23 PURCHASE GAINESVILLE GA,-3.5,196.95
3/24/2025,BP#7698079ANDYS B 03/23 PURCHASE GAINESVILLE GA,-11.76,185.19
3/24/2025,MCDONALD'S F56 03/24 PURCHASE GAINSEVILLE GA,-15.39,169.8
3/25/2025,Transfer DAILY PAY,216.51,386.31
3/25/2025,CHEVRON 0053492 03/24 PURCHASE GAINESVILLE GA,-30,356.31
3/25/2025,Speedway 3310 03/25 PURCHASE Cumming GA,-5.03,351.28
3/25/2025,DOLLAR GENERAL 03/25 PURCHASE GILLSVILLE GA,-25.64,325.64
3/26/2025,Zelle payment from CARSON LUBBESS Conf# 01ZTDSPS4,100,425.64
3/26/2025,OAKWOOD PACKAGE S 03/24 PURCHASE FLOWERY BRANC GA,-13.06,412.58
3/26/2025,MEDLINK BANKS 03/25 PURCHASE HOMER GA,-40,372.58
3/26/2025,ENTERPRISE RENT-A 03/25 PURCHASE XXXXX09505 GA,-215.34,157.24
3/26/2025,EAST HALL FOOD MA 03/25 PURCHASE GAINESVILLE GA,-18.18,139.06
3/26/2025,Zelle payment to Evan new Conf# w8v5sw41z,-40,99.06
3/27/2025,BURGER KING #3868 03/25 PURCHASE COMMERCE GA,-19.63,79.43
3/27/2025,EAST HALL FOOD MA 03/26 PURCHASE GAINESVILLE GA,-18.29,61.14
3/27/2025,SUNOCO XXXXX14300 03/26 PURCHASE GILLSVILLE GA,-25.66,35.48
3/27/2025,TRACTOR SUPPLY 03/27 PURCHASE GAINESVILLE GA,-1.75,33.73
3/27/2025,TRACTOR SUPPLY 03/27 PURCHASE GAINESVILLE GA,-1.75,31.98
3/28/2025,Transfer DAILY PAY,151.51,183.49
3/28/2025,BP#7698079ANDYS B 03/27 PURCHASE GAINESVILLE GA,-11.76,171.73
3/28/2025,TRACTOR SUPPLY 03/28 PURCHASE GAINESVILLE GA,-1.75,169.98
3/28/2025,TRACTOR SUPPLY 03/28 PURCHASE GAINESVILLE GA,-2.18,167.8
3/31/2025,Transfer DAILY PAY,216.51,384.31
3/31/2025,Transfer DAILY PAY,101.51,485.82
3/31/2025,Transfer DAILY PAY,71.51,557.33
3/31/2025,BURGER KING #5920 03/27 PURCHASE OAKWOOD GA,-10.69,546.64
3/31/2025,Wellington Capita 03/28 PURCHASE XXXXX92200 NY,-111.66,434.98
3/31/2025,OAKWOOD PACKAGE S 03/28 PURCHASE FLOWERY BRANC GA,-13.06,421.92
3/31/2025,DOLLAR GENERAL #1 03/29 PURCHASE GILLSVILLE GA,-15.19,406.73
3/31/2025,GILLSVILLE CAFE 03/29 PURCHASE GILLSVILLE GA,-27.53,379.2
3/31/2025,SUNOCO XXXXX14300 03/29 PURCHASE GILLSVILLE GA,-6.09,373.11
3/31/2025,DOLLAR GENERAL #1 03/29 PURCHASE GILLSVILLE GA,-5.15,367.96
3/31/2025,AMAZON PRIME*ZX4Q 03/29 PURCHASE XXXXX04331 WA,-16.04,351.92
3/31/2025,TRACTOR SUPPLY 03/29 PURCHASE GAINESVILLE GA,-1.75,350.17
3/31/2025,TRACTOR SUPPLY 03/29 PURCHASE GAINESVILLE GA,-1.75,348.42
3/31/2025,BP#7698079ANDYS B 03/29 PURCHASE GAINESVILLE GA,-11.76,336.66
3/31/2025,TRACTOR SUPPLY 03/30 PURCHASE GAINESVILLE GA,-1.75,334.91
3/31/2025,MCDONALD'S F56 03/30 PURCHASE GAINSEVILLE GA,-15.49,319.42
3/31/2025,BP#7698079ANDYS B 03/30 PURCHASE GAINESVILLE GA,-11.76,307.66
3/31/2025,BP#7698079ANDY 03/30 PURCHASE GAINESVILLE GA,-29.3,278.36
3/31/2025,TRACTOR SUPPLY 03/31 PURCHASE GAINESVILLE GA,-1.75,276.61
3/31/2025,JEFFERSON FOOD 03/31 PURCHASE JEFFERSON GA,-19.25,257.36
4/1/2025,Transfer DAILY PAY,100.51,357.87
4/1/2025,ORACL*WAFFLE HOUS 03/31 PURCHASE Gainesville GA,-18,339.87
4/1/2025,ENTERPRISE RENT-A 03/31 PURCHASE XXXXX09505 GA,-215.33,124.54
4/1/2025,SUNOCO XXXXX14300 03/31 PURCHASE GILLSVILLE GA,-5.75,118.79
4/1/2025,TRACTOR SUPPLY 04/01 PURCHASE GAINESVILLE GA,-3.48,115.31
4/1/2025,WAL-MART #3627 04/01 PURCHASE OAKWOOD GA,-53.42,61.89
4/1/2025,DOLLAR GENERAL 04/01 PURCHASE GILLSVILLE GA,-2.21,59.68
4/2/2025,CHEVRON FOOD MART 04/01 PURCHASE GAINSVILLE GA,-6.53,53.15
4/2/2025,TRACTOR SUPPLY 04/02 PURCHASE GAINESVILLE GA,-1.75,51.4
4/2/2025,TRACTOR SUPPLY 04/02 PURCHASE GAINESVILLE GA,-3.93,47.47
4/3/2025,TRACTOR SUPPLY 04/03 PURCHASE GAINESVILLE GA,-1.75,45.72
4/3/2025,TRACTOR SUPPLY 04/03 PURCHASE GAINESVILLE GA,-1.75,43.97
4/3/2025,DOLLAR GENERAL 04/03 PURCHASE GILLSVILLE GA,-19.78,24.19
4/4/2025,Transfer DAILY PAY,365.13,389.32
4/4/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,238.95,628.27
4/4/2025,Transfer DAILY PAY,103.98,732.25
4/4/2025,BP#7698079ANDYS B 04/03 PURCHASE GAINESVILLE GA,-6.61,725.64
4/4/2025,Zelle payment to Kids iPhone Conf# yjhpubyk9,-200,525.64
4/4/2025,Zelle payment to Kids iPhone Conf# spp5wngv5,-400,125.64
4/4/2025,TRACTOR SUPPLY 04/04 PURCHASE GAINESVILLE GA,-1.75,123.89
4/4/2025,TRACTOR SUPPLY 04/04 PURCHASE GAINESVILLE GA,-1.75,122.14
4/7/2025,Transfer DAILY PAY,88.51,210.65
4/7/2025,Transfer DAILY PAY,78.62,289.27
4/7/2025,Transfer DAILY PAY,59.56,348.83
4/7/2025,Transfer DAILY PAY,51.69,400.52
4/7/2025,"Zelle payment from CARSON LUBBESS for New phone""; Conf# 0205OU309""",35,435.52
4/7/2025,BP#7698079ANDYS B 04/04 PURCHASE GAINESVILLE GA,-13.02,422.5
4/7/2025,CHEVRON 0053492 04/04 PURCHASE GAINESVILLE GA,-30.01,392.49
4/7/2025,CHEVRON FOOD MART 04/04 PURCHASE GAINSVILLE GA,-18.18,374.31
4/7/2025,Zelle payment to Kids iPhone Conf# s6jecw8xl,-50,324.31
4/7/2025,KROGER #682 04/05 PURCHASE GAINESVILLE GA,-52.33,271.98
4/7/2025,Peacock TV LLC 04/05 PURCHASE New York City NY,-6,265.98
4/7/2025,Peacock TV LLC 04/05 PURCHASE New York City NY,-7.99,257.99
4/7/2025,TRACTOR SUPPLY 04/06 PURCHASE GAINESVILLE GA,-1.75,256.24
4/7/2025,BP#7698079ANDYS B 04/06 PURCHASE GAINESVILLE GA,-11.76,244.48
4/7/2025,SUNOCO XXXXX14300 04/06 PURCHASE GILLSVILLE GA,-25.66,218.82
4/7/2025,TRACTOR SUPPLY 04/07 PURCHASE GAINESVILLE GA,-1.75,217.07
4/7/2025,CELLULAR SALES 04/07 PURCHASE OAKWOOD GA,-116.79,100.28
4/8/2025,BP#7698079ANDYS B 04/07 PURCHASE GAINESVILLE GA,-6.41,93.87
4/8/2025,RABBITTOWN PACKAG 04/07 PURCHASE GAINESVILLE GA,-19.25,74.62
4/8/2025,TRACTOR SUPPLY 04/08 PURCHASE GAINESVILLE GA,-1.75,72.87
4/9/2025,"Zelle payment from ANDREA PINEDA for LOAN""; Conf# T0YPT8FVY""",100,172.87
4/9/2025,QT 771 04/07 PURCHASE GAINESVILLE GA,-5.36,167.51
4/9/2025,ZAXBY'S #68401 04/07 PURCHASE GAINESVILLE GA,-23.54,143.97
4/9/2025,DOLLAR GENERAL 04/08 PURCHASE GILLSVILLE GA,-10.15,133.82
4/9/2025,BKOFAMERICA ATM 04/09 #XXXXX5249 WITHDRWL WINDER MAIN WINDER GA,-40,93.82
4/10/2025,Transfer DAILY PAY,70.96,164.78
4/10/2025,CHEVRON 0306645 04/09 PURCHASE BRASELTON GA,-10.25,154.53
4/10/2025,SHELL FOOD MART 04/09 PURCHASE WINDER GA,-19.25,135.28
4/10/2025,BOJANGLES #964 04/09 PURCHASE BRASELTON GA,-29.95,105.33
4/10/2025,TRACTOR SUPPLY 04/10 PURCHASE GAINESVILLE GA,-1.75,103.58
4/10/2025,TRACTOR SUPPLY 04/10 PURCHASE GAINESVILLE GA,-1.75,101.83
4/11/2025,Transfer DAILY PAY,178.65,280.48
4/11/2025,ENTERPRISE RENT-A 04/10 REFUND OAKWOOD GA,84.66,365.14
4/11/2025,EL SOMBRERO MEXIC 04/10 PURCHASE GAINESVILLE GA,-33.38,331.76
4/11/2025,TRACTOR SUPPLY 04/11 PURCHASE GAINESVILLE GA,-1.75,330.01
4/11/2025,MCDONALD'S F56 04/11 PURCHASE GAINSEVILLE GA,-15.81,314.2
4/11/2025,Zelle payment to Andrea Pineda-8976 Conf# t1qe8c79f,-100,214.2
4/11/2025,DOLLAR GENERAL 04/11 PURCHASE GILLSVILLE GA,-41.56,172.64
4/14/2025,Transfer DAILY PAY,151.51,324.15
4/14/2025,Transfer DAILY PAY,96.51,420.66
4/14/2025,Transfer DAILY PAY,65.27,485.93
4/14/2025,RACETRAC2351 000 04/10 PURCHASE GAINESVILLE GA,-27,458.93
4/14/2025,QT 847 04/11 PURCHASE GAINESVILLE GA,-8.44,450.49
4/14/2025,BP#7698079ANDYS B 04/11 PURCHASE GAINESVILLE GA,-11.76,438.73
4/14/2025,Zelle payment to Kids iPhone Conf# t5x6tqj8w,-100,338.73
4/14/2025,CHEVRON FOOD MART 04/12 PURCHASE GAINSVILLE GA,-12.48,326.25
4/14/2025,TRACTOR SUPPLY 04/12 PURCHASE GAINESVILLE GA,-1.75,324.5
4/14/2025,TRACTOR SUPPLY 04/12 PURCHASE GAINESVILLE GA,-1.75,322.75
4/14/2025,BP#7698079ANDYS B 04/12 PURCHASE GAINESVILLE GA,-11.76,310.99
4/14/2025,DOLLAR GENERAL 04/13 PURCHASE GILLSVILLE GA,-26.11,284.88
4/14/2025,TRACTOR SUPPLY 04/13 PURCHASE GAINESVILLE GA,-1.75,283.13
4/14/2025,BP#7698079ANDYS B 04/13 PURCHASE GAINESVILLE GA,-6.61,276.52
4/14/2025,TRACTOR SUPPLY 04/14 PURCHASE GAINESVILLE GA,-1.75,274.77
4/14/2025,TRACTOR SUPPLY 04/14 PURCHASE GAINESVILLE GA,-1.75,273.02
4/14/2025,DOLLAR GENERAL 04/14 PURCHASE GILLSVILLE GA,-17,256.02
4/14/2025,Zelle payment to Kids iPhone Conf# s96m38x16,-100,156.02
4/15/2025,BURGER KING #5920 04/13 PURCHASE OAKWOOD GA,-27.58,128.44
4/15/2025,BP#7698079ANDYS B 04/14 PURCHASE GAINESVILLE GA,-11.76,116.68
4/15/2025,MEDLINK PHARMACY 04/14 PURCHASE COMMERCE GA,-55.95,60.73
4/15/2025,Amazon.com*C04L59 04/14 PURCHASE XXXXX18851 WA,-5.07,55.66
4/15/2025,TRACTOR SUPPLY 04/15 PURCHASE GAINESVILLE GA,-0.09,55.57
4/16/2025,Transfer DAILY PAY,119.31,174.88
4/16/2025,RACETRAC284 000 04/14 PURCHASE COMMERCE GA,-12.41,162.47
4/16/2025,CHEVRON 0053492 04/15 PURCHASE GAINESVILLE GA,-25.19,137.28
4/16/2025,BLUE TIDE CAR WAS 04/15 PURCHASE OAKWOOD GA,-10,127.28
4/16/2025,WM SUPERCENTER 04/16 PURCHASE OAKWOOD GA,-44.35,82.93
4/16/2025,TRACTOR SUPPLY 04/16 PURCHASE GAINESVILLE GA,-6.96,75.97
4/17/2025,EAST HALL FOOD MA 04/16 PURCHASE GAINESVILLE GA,-6.53,69.44
4/17/2025,OLLIES BARGAIN OU 04/16 PURCHASE GAINESVILLE GA,-8.55,60.89
4/17/2025,BP#8136079CLIPPER 04/16 PURCHASE GAINESVILLE GA,-3.73,57.16
4/17/2025,ACEABLE* 24/7 ROA 04/16 PURCHASE XXXXX23504 TX,-5,52.16
4/17/2025,AMAZON MKTPL*DM1U 04/16 PURCHASE XXXXX61072 WA,-6.2,45.96
4/17/2025,TRACTOR SUPPLY 04/17 PURCHASE GAINESVILLE GA,-1.75,44.21
4/18/2025,DAILYPAY DES:TRACTOR SU ID:17887747 INDN:TIMOTHY LUBBESS CO ID:XXXXX35714 PPD,670.15,714.36
4/18/2025,RABBITTOWN PACKAG 04/17 PURCHASE GAINESVILLE GA,-3.2,711.16
4/18/2025,EAST HALL FOOD MA 04/17 PURCHASE GAINESVILLE GA,-10.05,701.11
4/18/2025,Zelle payment to Kids iPhone Conf# uvuhsc5s4,-400,301.11
4/18/2025,Zelle payment to Carson Conf# yjdagi30k,-200,101.11
4/18/2025,TRACTOR SUPPLY 04/18 PURCHASE GAINESVILLE GA,-1.75,99.36
4/18/2025,DOLLAR GENERAL 04/18 PURCHASE GILLSVILLE GA,-23.12,76.24
4/21/2025,Transfer DAILY PAY,171.51,247.75
4/21/2025,Transfer DAILY PAY,151.51,399.26
4/21/2025,Transfer DAILY PAY,101.51,500.77
4/21/2025,Transfer DAILY PAY,96.51,597.28
4/21/2025,ZAXBY'S #68401 04/17 PURCHASE GAINESVILLE GA,-23.55,573.73
4/21/2025,BP#7698079ANDYS B 04/18 PURCHASE GAINESVILLE GA,-11.76,561.97
4/21/2025,SUNOCO XXXXX14300 04/18 PURCHASE GILLSVILLE GA,-28.86,533.11
4/21/2025,TRACTOR SUPPLY 04/19 PURCHASE GAINESVILLE GA,-1.75,531.36
4/21/2025,TRACTOR SUPPLY 04/19 PURCHASE GAINESVILLE GA,-1.75,529.61
4/21/2025,TRACTOR SUPPLY 04/19 PURCHASE GAINESVILLE GA,-40.46,489.15
4/21/2025,TRACTOR SUPPLY 04/19 PURCHASE GAINESVILLE GA,-2.18,486.97
4/21/2025,BP#7698079ANDYS B 04/19 PURCHASE GAINESVILLE GA,-11.76,475.21
4/21/2025,TRACTOR SUPPLY 04/20 PURCHASE GAINESVILLE GA,-1.75,473.46
4/21/2025,BP#7698079ANDYS B 04/20 PURCHASE GAINESVILLE GA,-11.76,461.7
4/21/2025,AMERICAN DELI 108 04/20 PURCHASE OAKWOOD GA,-48.98,412.72
4/21/2025,TRACTOR SUPPLY 04/21 PURCHASE GAINESVILLE GA,-1.75,410.97
4/21/2025,BP#7698079ANDY 04/21 PURCHASE GAINESVILLE GA,-12.01,398.96
4/22/2025,Transfer DAILY PAY,119.05,518.01
4/22/2025,Wellington Capita 04/21 PURCHASE XXXXX92200 NY,-111.66,406.35
4/22/2025,BP#8136079CLIPPER 04/21 PURCHASE GAINESVILLE GA,-9.01,397.34
4/22/2025,BP#7698079ANDYS B 04/21 PURCHASE GAINESVILLE GA,-11.76,385.58
4/22/2025,TROPHY CLUB OF AP 04/21 PURCHASE DACULA GA,-128.22,257.36
4/22/2025,WM SUPERCENTER 04/22 PURCHASE OAKWOOD GA,-63.56,193.8
4/23/2025,TRACTOR SUPPLY #1 04/22 PURCHASE GAINESVILLE GA,-65.45,128.35
4/23/2025,CHEVRON 0053492 04/22 PURCHASE GAINESVILLE GA,-24.65,103.7
4/24/2025,QT 784 04/21 PURCHASE DACULA GA,-18.54,85.16
4/24/2025,TRACTOR SUPPLY 04/24 PURCHASE GAINESVILLE GA,-1.75,83.41
4/25/2025,Transfer DAILY PAY,105.99,189.4
4/25/2025,BP#7698079ANDYS B 04/24 PURCHASE GAINESVILLE GA,-9.61,179.79
4/25/2025,BP#7698079ANDYS B 04/24 PURCHASE GAINESVILLE GA,-11.76,168.03
4/25/2025,LEE'S GOLDEN BUDD 04/24 PURCHASE OAKWOOD GA,-63.99,104.04
4/25/2025,TRACTOR SUPPLY 04/25 PURCHASE GAINESVILLE GA,-4.64,99.4
4/25/2025,TRACTOR SUPPLY 04/25 PURCHASE GAINESVILLE GA,-4.36,95.04
4/28/2025,Transfer DAILY PAY,111.51,206.55
4/28/2025,Transfer DAILY PAY,101.51,308.06
4/28/2025,BP#7698079ANDYS B 04/25 PURCHASE GAINESVILLE GA,-11.76,296.3
4/28/2025,ZAXBY'S #68401 04/25 PURCHASE GAINESVILLE GA,-23.3,273
4/28/2025,DUNKIN #362911 04/26 PURCHASE GAINESVILLE GA,-5.61,267.39
4/28/2025,MCDONALD'S F56 04/26 PURCHASE GAINSEVILLE GA,-17.31,250.08
4/28/2025,TRACTOR SUPPLY 04/26 PURCHASE GAINESVILLE GA,-2.18,247.9
4/28/2025,BP#7698079ANDYS B 04/26 PURCHASE GAINESVILLE GA,-11.76,236.14
4/28/2025,TRACTOR SUPPLY 04/27 PURCHASE GAINESVILLE GA,-1.75,234.39
4/28/2025,ORACL*WAFFLE HOUS 04/27 PURCHASE Gainesville GA,-54.5,179.89
4/28/2025,TRACTOR SUPPLY 04/27 PURCHASE GAINESVILLE GA,-1.75,178.14
4/28/2025,BP#7698079ANDYS B 04/27 PURCHASE GAINESVILLE GA,-11.76,166.38
4/28/2025,BP#8136079CLIPPER 04/27 PURCHASE GAINESVILLE GA,-6.67,159.71
4/28/2025,TRACTOR SUPPLY 04/28 PURCHASE GAINESVILLE GA,-1.75,157.96
4/28/2025,TRACTOR SUPPLY 04/28 PURCHASE GAINESVILLE GA,-1.75,156.21
4/28/2025,PAPA JOHN 1944 04/28 PURCHASE GAINESVILLE GA,-58.34,97.87
4/29/2025,Transfer DAILY PAY,101.51,199.38
4/29/2025,BP#8136079CLIPPER 04/28 PURCHASE GAINESVILLE GA,-1.64,197.74
4/29/2025,BP#7698079ANDYS B 04/28 PURCHASE GAINESVILLE GA,-11.76,185.98
4/29/2025,TRACTOR SUPPLY 04/29 PURCHASE GAINESVILLE GA,-46.27,139.71
4/29/2025,SUPERMERCADO L 04/29 PURCHASE GAINESVILLE GA,-44.35,95.36
4/29/2025,DOLLAR GENERAL 04/29 PURCHASE GAINESVILLE GA,-19.31,76.05
4/30/2025,Transfer DAILY PAY,101.51,177.56
4/30/2025,Transfer DAILY PAY,65.51,243.07
4/30/2025,AMAZON PRIME*NB0H 04/29 PURCHASE XXXXX04331 WA,-16.04,227.03
4/30/2025,4088 GREAT CLIPS 04/29 PURCHASE GAINESVILLE GA,-24,203.03
4/30/2025,RABBITTOWN PACKAG 04/29 PURCHASE GAINESVILLE GA,-11.22,191.81
4/30/2025,WM SUPERCENTER 04/30 PURCHASE OAKWOOD GA,-32.71,159.1
4/30/2025,TRACTOR SUPPLY 04/30 PURCHASE GAINESVILLE GA,-1.75,157.35
4/30/2025,MCDONALD'S F56 04/30 PURCHASE GAINSEVILLE GA,-20.83,136.52
